,,Deospray,Rasur,Raumspray,Zähneputzen
gasres_step4,count,232.0,183.0,206.0,145.0
gasres_step4,mean,44861007.668006636,67064300.21604443,110483368.1624507,201774800.44246364
gasres_step4,std,173196566.07675415,128269630.70308144,226370019.38248843,342162304.5239973
gasres_step4,min,29732.924804,16768.347656,11506.708008,25179.390625
gasres_step4,25%,185186.46289075,274913.0625,337858.9921875,375572.890625
gasres_step4,50%,288945.46875,423034.375,518031.3515625,673680.5
gasres_step4,75%,415615.24609375,48648207.886719,159680025.0234375,295725802.96875
gasres_step4,max,1593762750.0,683591625.0,1184362500.0,1481983750.0
gasres_step5,count,232.0,183.0,206.0,145.0
gasres_step5,mean,19547381.60583074,35494806.22924139,52744673.792945035,135471795.66163793
gasres_step5,std,86098773.8705011,82992713.79850625,137164802.14738187,265155358.16663042
gasres_step5,min,23185.719726,46688.832031,25271.069336,64112.095703
gasres_step5,25%,94113.37011675,248233.996094,317880.59765625,406381.265625
gasres_step5,50%,191472.9648435,334862.578125,397011.71875,496449.5625
gasres_step5,75%,280017.22265625,500317.046875,802972.9375,199113543.75
gasres_step5,max,659515861.5,492757875.0,823844375.0,1269363875.0
gasres_step6,count,232.0,183.0,206.0,145.0
gasres_step6,mean,13386117.050166728,24184388.21631126,23151576.19352529,64031617.90289599
gasres_step6,std,76865380.78087465,72538064.18080916,83640731.07134141,179029841.24619615
gasres_step6,min,21378.184571,17607.725586,11059.798828,32566.544922
gasres_step6,25%,79500.02636775,122158.921875,154752.55078125,165774.875
gasres_step6,50%,112740.3945315,231834.234375,313842.5,347486.640625
gasres_step6,75%,204029.38476525,480298.21875,526628.87890625,937923.84375
gasres_step6,max,825613560.75,313490875.0,703900125.0,1253457625.0
gasres_step7,count,232.0,183.0,206.0,145.0
gasres_step7,mean,38199315.74021122,160534568.60284588,98697302.9565489,15698550.59242318
gasres_step7,std,166085018.0944278,379454082.9541069,336844704.5579456,80725089.85935625
gasres_step7,min,25845.724609,11545.975586,8627.855713,18688.115235
gasres_step7,25%,97242.916015,110312.576172,122854.129883,138446.546875
gasres_step7,50%,145831.929688,178142.765625,315062.078125,298283.421875
gasres_step7,75%,231305.042969,1979835.5,2829282.40625,3825884.0
gasres_step7,max,1271051750.0,1796499625.0,1858305625.0,903694879.625
gasres_step8,count,232.0,183.0,206.0,145.0
gasres_step8,mean,7741872.8688627845,22544510.700606223,18164238.424842626,36145165.32774783
gasres_step8,std,29725707.474612013,52001719.04519617,49769084.6431473,67293657.90571243
gasres_step8,min,52085.291015,74093.324218,69496.396485,114069.0
gasres_step8,25%,151281.4101565,230978.414062,272897.87109375,306904.375
gasres_step8,50%,226111.3515625,291431.5,368177.8359375,407973.671875
gasres_step8,75%,1204008.3359375,9334009.75,11581824.625,34023034.0
gasres_step8,max,206790251.984375,296086625.0,403116125.0,403727125.0
gasres_step9,count,232.0,183.0,206.0,145.0
gasres_step9,mean,32293047.849230573,106782122.53361936,151315818.25908297,74242927.35878232
gasres_step9,std,167880084.21021882,259594359.0077616,358955629.29362404,175990642.28254077
gasres_step9,min,57531.408204,122041.050782,116759.292968,191781.1875
gasres_step9,25%,148019.3281245,248831.8476565,305258.94921875,331790.015625
gasres_step9,50%,204275.5078125,301585.5625,411121.75,429855.828125
gasres_step9,75%,281048.640625,967612.53125,143295485.3828125,4769943.0
gasres_step9,max,1556489125.0,1466152375.0,1964374625.0,838187208.25
